MD;GR;DRX
5298.66;31.75;
5298.81;32.93;
5298.97;34.58;
5299.12;38.78;
5299.27;42.26;
5299.42;43.95;
5299.58;42.93;
5299.73;40.80;
5299.88;38.59;
5300.03;37.71;
5300.19;42.04;
5300.34;50.09;
5300.49;57.78;
5300.64;59.39;
5300.80;53.82;
5300.95;48.23;
5301.10;44.58;
5301.25;45.02;
5301.41;44.71;
5301.56;42.95;
5301.71;38.03;
5301.86;31.14;
5302.02;26.13;
5302.17;21.84;
5302.32;20.80;
5302.47;20.02;
5302.62;21.91;
5302.78;24.86;
5302.93;28.19;
5303.08;29.30;
5303.23;28.27;
5303.39;26.21;
5303.54;27.80;
5303.69;31.93;
5303.84;35.44;
5304.00;36.02;
5304.15;35.45;
5304.30;38.58;
5304.45;42.29;
5304.61;44.46;
5304.76;43.31;
5304.91;40.29;
5305.06;40.03;
5305.22;42.40;
5305.37;44.78;
5305.52;45.53;
5305.67;42.88;
5305.83;40.79;
5305.98;37.04;
5306.13;34.55;
5306.28;33.07;
5306.43;33.75;
5306.59;32.40;
5306.74;30.30;
5306.89;27.07;
5307.04;25.74;
5307.20;24.59;
5307.35;23.98;
5307.50;23.68;
5307.65;24.14;
5307.81;23.94;
5307.96;24.68;
5308.11;24.49;
5308.26;26.92;
5308.42;31.06;
5308.57;42.13;
5308.72;51.82;
5308.87;59.31;
5309.03;61.18;
5309.18;60.13;
5309.33;55.68;
5309.48;48.96;
5309.64;42.12;
5309.79;36.43;
5309.94;35.29;
5310.09;37.85;
5310.24;49.40;
5310.40;66.20;
5310.55;85.66;
5310.70;98.72;
5310.85;102.21;
5311.01;95.92;
5311.16;76.56;
5311.31;57.86;
5311.46;49.14;
5311.62;55.54;
5311.77;64.87;
5311.92;66.95;
5312.07;59.98;
5312.23;47.45;
5312.38;35.93;
5312.53;28.99;
5312.68;24.54;
5312.84;22.21;
5312.99;20.10;
5313.14;19.49;
5313.29;19.32;
5313.45;20.58;
5313.60;22.16;
5313.75;22.22;
5313.90;22.98;
5314.05;25.67;
5314.21;28.34;
5314.36;30.68;
5314.51;29.59;
5314.66;27.56;
5314.82;25.53;
5314.97;23.62;
5315.12;25.66;
5315.27;26.02;
5315.43;30.15;
5315.58;32.19;
5315.73;34.48;
5315.88;31.88;
5316.04;28.04;
5316.19;24.52;
5316.34;23.16;
5316.49;23.09;
5316.65;23.47;
5316.80;23.11;
5316.95;22.97;
5317.10;22.66;
5317.26;22.56;
5317.41;22.44;
5317.56;24.21;
5317.71;25.16;
5317.86;25.26;
5318.02;23.47;
5318.17;24.25;
5318.32;26.25;
5318.47;28.03;
5318.63;26.09;
5318.78;24.49;
5318.93;22.72;
5319.08;23.17;
5319.24;23.91;
5319.39;24.38;
5319.54;25.62;
5319.69;24.18;
5319.85;23.58;
5320.00;22.69;
5320.15;24.72;
5320.30;25.51;
5320.46;25.22;
5320.61;24.52;
5320.76;25.77;
5320.91;26.49;
5321.07;26.21;
5321.22;26.10;
5321.37;27.03;
5321.52;26.80;
5321.67;25.32;
5321.83;25.03;
5321.98;29.23;
5322.13;33.25;
5322.28;36.57;
5322.44;39.00;
5322.59;48.52;
5322.74;64.78;
5322.89;72.15;
5323.05;65.88;
5323.20;52.84;
5323.35;47.11;
5323.50;48.60;
5323.66;49.86;
5323.81;47.30;
5323.96;43.99;
5324.11;38.61;
5324.27;39.32;
5324.42;45.80;
5324.57;58.98;
5324.72;69.44;
5324.88;72.35;
5325.03;69.36;
5325.18;66.02;
5325.33;65.29;
5325.48;58.88;
5325.64;48.67;
5325.79;38.15;
5325.94;32.89;
5326.09;29.01;
5326.25;25.43;
5326.40;22.95;
5326.55;22.43;
5326.70;23.72;
5326.86;24.79;
5327.01;27.42;
5327.16;26.72;
5327.31;25.99;
5327.47;25.70;
5327.62;30.78;
5327.77;35.76;
5327.92;39.78;
5328.08;40.48;
5328.23;40.96;
5328.38;37.37;
5328.53;31.36;
5328.69;26.77;
5328.84;25.65;
5328.99;24.90;
5329.14;24.01;
5329.29;22.00;
5329.45;20.35;
5329.60;19.35;
5329.75;18.11;
5329.90;17.73;
5330.06;16.63;18.4
5330.21;16.00;
5330.36;16.00;
5330.51;16.84;
5330.67;19.58;
5330.82;21.36;
5330.97;22.39;
5331.12;22.68;
5331.28;21.21;
5331.43;20.77;
5331.58;18.93;
5331.73;22.04;
5331.89;23.80;
5332.04;27.10;
5332.19;27.93;
5332.34;30.40;
5332.50;29.06;
5332.65;28.45;
5332.80;26.11;
5332.95;27.05;
5333.10;24.52;
5333.26;20.70;
5333.41;16.90;
5333.56;15.59;
5333.71;16.07;
5333.87;16.81;
5334.02;16.66;
5334.17;15.74;
5334.32;14.28;
5334.48;14.15;
